name,year,position
Kyla McClure,2025,"Postdoctoral Fellow, Center for Assessment (NCIEA)"
Sanford Student,2023,"Assistant Professor, School of Education, University of Delaware"
Rajendra Chattergoon,2020,"Director of Efficacy Research, Lexia Learning"
Amy Burkhardt,2020,"Managing Lead Scientist, Cambium Assessment"
Michael Turner,2019,"Global VP of Services and Support, Upland Software"
Jessica Alzen,2016,"Executive Director of Accountability and Evaluation, Boulder Valley School District"
Ruhan Circi,2015,"Principal Data Scientist, American Institutes for Research"
Nathan Dadey,2015,"Associate, Center for Assessment (NCIEA)"
Benjamin Domingue,2012,"Associate Professor, Stanford Graduate School of Education"
Jonathan Weeks,2011,"Principal Psychometrician, Stanford University"
Kimberly Geil,2011,Independent Research Consultant
Matthew Gaertner,2011,"Director of Research, WestEd (in memoriam, d. 2021)"
Elena Diaz-Bilello,2011,"Associate Director, CADRE, University of Colorado Boulder"
Robert Talbot,2010,"Associate Professor, School of Education and Human Development, University of Colorado Denver"
Eric Snow,2008,Independent Research Consultant
